0,0,0,C29H22O14               
0,0,0,C29H22O15               
0,0,0,C29H24O12               
0,0,0,C29H24O5               
0,0,0,C29H24O6               
0,0,0,C29H24O8               
0,0,0,C29H24O9               
0,0,0,C29H25O11               
0,0,0,C29H26O11               
0,0,0,C29H26O12               
0,0,0,C29H26O13               
0,0,0,C29H26O16               
0,0,0,C29H26O7               
0,0,0,C29H26O8               
0,0,0,C29H28O11               
0,0,0,C29H28O12               
0,0,0,C29H28O13               
0,0,0,C29H30O17               
0,0,0,C29H30O7               
0,0,0,C29H30O8               
0,0,0,C29H31O17               
0,0,0,C29H31O18               
0,0,0,C29H31O19               
0,0,0,C29H32O10               
0,0,0,C29H32O12               
0,0,0,C29H32O13               
0,0,0,C29H32O15               
0,0,0,C29H32O16               
0,0,0,C29H32O17               
0,0,0,C29H32O18               
0,0,0,C29H33O15               
0,0,0,C29H33O16               
0,0,0,C29H33O17               
0,0,0,C29H33O18               
0,0,0,C29H34O12               
0,0,0,C29H34O13               
0,0,0,C29H34O14               
0,0,0,C29H34O15               
0,0,0,C29H34O16               
0,0,0,C29H34O17               
0,0,0,C29H34O18               
0,0,0,C29H35O16               
0,0,0,C29H35O17               
0,0,0,C29H35O20S               
0,0,0,C29H36O14               
0,0,0,C29H36O15               
0,0,0,C29H38O15               
0,0,0,C29H38O16               
0,0,0,C30H24O16               
0,0,0,C30H26O12               
0,0,0,C30H26O13               
0,0,0,C30H26O14               
0,0,0,C30H26O15               
0,0,0,C30H26O16               
0,0,0,C30H26O17               
0,0,0,C30H26O7               
0,0,0,C30H27O12               
0,0,0,C30H27O13               
0,0,0,C30H27O14               
0,0,0,C30H27O15               
0,0,0,C30H27O17               
0,0,0,C30H28O10               
0,0,0,C30H28O12               
0,0,0,C30H28O13               
0,0,0,C30H28O6               
0,0,0,C30H28O7               
0,0,0,C30H28O8               
0,0,0,C30H28O9               
0,0,0,C30H30O10               
0,0,0,C30H30O12               
0,0,0,C30H30O14               
0,0,0,C30H30O19               
0,0,0,C30H30O6               
0,0,0,C30H30O7               
0,0,0,C30H31O20               
0,0,0,C30H32O12               
0,0,0,C30H32O17               
0,0,0,C30H32O18               
0,0,0,C30H32O19               
0,0,0,C30H32O20               
0,0,0,C30H32O5               
0,0,0,C30H32O6               
0,0,0,C30H32O7               
0,0,0,C30H33O17               
0,0,0,C30H33O18               
0,0,0,C30H33O19               
0,0,0,C30H33O20               
0,0,0,C30H34O15               
0,0,0,C30H34O16               
0,0,0,C30H34O17               
0,0,0,C30H34O18               
0,0,0,C30H34O4               
0,0,0,C30H34O5               
0,0,0,C30H34O6               
0,0,0,C30H34O7               
0,0,0,C30H34O8               
0,0,0,C30H35O17               
0,0,0,C30H35O18               
0,0,0,C30H35O19               
0,0,0,C30H36O14               
0,0,0,C30H36O15               
0,0,0,C30H36O16               
0,0,0,C30H36O17               
0,0,0,C30H36O18               
0,0,0,C30H36O4               
0,0,0,C30H36O5               
0,0,0,C30H36O6               
0,0,0,C30H36O7               
0,0,0,C30H37O17               
